,village,school,num_students
864,Dolný Kubín,"ŠZŠ pre ŽTP pri SŠ - D.Kubín, Matuškova",47.0
865,Dolný Kubín,"EP pri Spojenej škole - D.Kubín, Matúškova",
866,Dolný Kubín,"Materská škola - D.Kubín, Na Sihoti",128.0
867,Dolný Kubín,"Materská škola - D.Kubín, Nám.slobody",116.0
868,Dolný Kubín,"ZŠ s MŠ pri ZZ pri SŠ - D.Kubín, Nemocničná",7.0
869,Dolný Kubín,"Materská škola - D.Kubín, Obrancov mieru",92.0
870,Dolný Kubín,"Materská škola - D.Kubín, Odbojárov",154.0
871,Dolný Kubín,"Gym. pri Cirk.SŠ - D.Kubín, Okružná",126.0
872,Dolný Kubín,"Cirk. SŠ - MŠ - D.Kubín, Okružná",82.0
873,Dolný Kubín,"ZŠ s MŠ pri Cirk.SŠ - D.Kubín, Okružná",283.0
874,Dolný Kubín,"SOŠ - D.Kubín, Pelhřimovská",438.0
875,Dolný Kubín,"OA - D.Kubín, Radlinského",262.0
876,Dolný Kubín,"ZŠ - D.Kubín, SNP",629.0
877,Dolný Kubín,"Súkr. SOŠ - D.Kubín, SNP",87.0
878,Dolný Kubín,"ZŠ - D.Kubín,  Martina Hattalu",437.0
879,Dolný Kubín,"Súkr. ZŠ s MŠ - D.Kubín,  Obrancov mieru",74.0
880,Dolný Kubín,"Súkr. materská škola - D.Kubín,  Obrancov mieru",25.0
881,Dolný Kubín,"Materská škola - D.Kubín, Záskalická",19.0
882,Dolný Kubín,"Súkr. MŠ - D.Kubín, Lucenkova",38.0
883,Dolný Lieskov,Materská škola - Dolný Lieskov,24.0
884,Dolný Lopašov,ZŠ - Dolný Lopašov,33.0
885,Dolný Lopašov,Materská škola - Dolný Lopašov,36.0
886,Dolný Ohaj,"EP Materská šk. pri ZŠ - Dolný Ohaj, Juraja Holčeka",37.0
887,Dolný Ohaj,"ZŠ s MŠ J.Holčeka - Dolný Ohaj, Juraja Holčeka",96.0
888,Dolný Pial,"Materská škola - Dolný Pial, Hlavná",30.0
889,Dolný Pial,"ZŠ - Dolný Pial, Hlavná",160.0
890,Dolný Štál,"ZŠ s VJM - Dolný Štál, Hlavná",140.0
891,Dolný Štál,"Reformovaná ZŠ s VJM - Dolný Štál, Hlavná",83.0
892,Dolný Štál,"Materská škola s VJM - Dolný Štál, Záhradnícka",54.0
893,Dolný Vadičov,Materská škola - Dolný Vadičov,22.0
894,Domaniža,ZŠ - Domaniža,170.0
895,Domaniža,Materská škola - Domaniža,77.0
896,Domaňovce,ZŠ s MŠ - Domaňovce,32.0
897,Domaňovce,Materská škola pri ZŠ - Domaňovce,31.0
898,Drahňov,Materská škola - Drahňov,81.0
899,Drahňov,"ZŠ - Drahňov, Hlavná",239.0
900,Drahňov,EP - SOŠ technická - Drahňov,
901,Drahovce,"ZŠ s MŠ - Drahovce, Školská",177.0
902,Drahovce,"EP ako súčasť ZŠ s MŠ - Drahovce, Hlavná",67.0
903,Dravce,Materská škola - Dravce,45.0
904,Dravce,ZŠ - Dravce,49.0
905,Dražkovce,Materská škola - Dražkovce,47.0
906,Dražkovce,ZŠ - Dražkovce,65.0
907,Drienica,Materská škola - Drienica,18.0
908,Drienov,"ZŠ - Drienov, Nám.kpt.Nálepku",189.0
909,Drienov,"Materská škola - Drienov, Nám.kpt.Nálepku",54.0
910,Drienovec,ZŠ - Drienovec,280.0
911,Drienovec,Materská škola - Drienovec,18.0
912,Drienovec,EP - ZŠ - Drienovec,
913,Drienovec,EP - ZŠ - Drienovec,
914,Drienovská Nová Ves,Materská škola - Drienovská N.V.,18.0
915,Drienovská Nová Ves,ZŠ - Drienovská N.V.,30.0
916,Drietoma,Materská škola pri ZŠ - Drietoma,77.0
917,Drietoma,ZŠ s MŠ - Drietoma,200.0
918,Drnava,ZŠ s VJM - Drnava,178.0
919,Drnava,Materská škola - Drnava,17.0
920,Drnava,ZŠ s VJM - Drnava,178.0
921,Drnava,Materská škola - Drnava,17.0
922,Družstevná pri Hornáde,"ZŠ - Družstevná pri Hornáde, Hlavná",343.0
923,Družstevná pri Hornáde,"Materská škola - Družstevná pri Hornáde, Prešovská",51.0
924,Družstevná pri Hornáde,"EP - SOŠ technickej - Družstevná pri Hornáde, Hlavná",
925,Držkovce,Materská škola s VJM - Držkovce,19.0
926,Držkovce,ZŠ s VJM - Držkovce,45.0
927,Dubinné,Materská škola - Dubinné,14.0
928,Dubnica nad Váhom,"EP ako súčasť ZŠ s MŠ - Dubnica n.V., Centrum I",85.0
929,Dubnica nad Váhom,"ZŠ s MŠ - Dubnica n.V., Centrum I",654.0
930,Dubnica nad Váhom,"Materská škola - Dubnica n.V., Centrum II",251.0
931,Dubnica nad Váhom,"EP ako súčasť ZŠ s MŠ - Dubnica n.V., Centrum II",173.0
932,Dubnica nad Váhom,"ZŠ s MŠ - Dubnica n.V., Centrum II",358.0
933,Dubnica nad Váhom,"SPŠ - Dubnica n.V., Obrancov mieru",601.0
934,Dubnica nad Váhom,"EP ako súčasť ZŠ s MŠ - Dubnica n.V., Pod hájom",133.0
935,Dubnica nad Váhom,"ZŠ s MŠ - Dubnica n.V., Pod hájom",578.0
936,Dubnica nad Váhom,"Gym. - Dubnica n.V., Školská",426.0
937,Dubnica nad Váhom,"SOŠ - Dubnica n.V., Bratislavská",519.0
938,Dubnica nad Váhom,"EP ako súčasť SOŠ - Dubnica n.V., Dukelská štvrť",
939,Dubnica nad Váhom,"EP ako súčasť SOŠ - Dubnica n.V., Dukelská štvrť",
940,Dubnica nad Váhom,"EP ako súčasť MŠ - Dubnica n.V., Centrum I",
941,Dubnica nad Váhom,"MŠ ako súčasť ZŠs MŠ - Dubnica n.V., Školská",75.0
942,Dubnica nad Váhom,"ZŠ s MŠ sv. Dominika S. - Dubnica n.V., Školská",151.0
943,Dubnica nad Váhom,"ŠZŠ ako organizačná zlo - Dubnica n.V., Školská",42.0
944,Dubnica nad Váhom,"PŠ ako organizačná zlož - Dubnica n.V., Školská",10.0
945,Dubník,ZŠ s MŠ - Dubník,170.0
946,Dubník,EP Materská šk. pri ZŠ - Dubník,37.0
947,Dubník,ZŠ s MŠ - Dubník,170.0
948,Dubník,EP Materská šk. pri ZŠ - Dubník,37.0
949,Dubodiel,Materská škola pri ZŠ - Dubodiel,24.0
950,Dubodiel,ZŠ s MŠ - Dubodiel,24.0
951,Dubová,"Materská škola - Dubová, Hlavná",34.0
952,Dubová,"ZŠ - Dubová, Hlavná",68.0
953,Dubová,"Materská škola - Dubová, Hlavná",34.0
954,Dubová,"ZŠ - Dubová, Hlavná",68.0
955,Dubová,"Materská škola - Dubová, Hlavná",34.0
956,Dubová,"ZŠ - Dubová, Hlavná",68.0
957,Dubovany,MŠ pri ZŠ - Dubovany,30.0
958,Dubovany,ZŠ s MŠ - Dubovany,30.0
959,Dubovce,Materská škola - Dubovce,21.0
960,Dubové,Materská škola - Dubové,21.0
961,Dubové,ZŠ - Dubové,23.0
962,Dubové,Materská škola - Dubové,17.0
963,Dubové,Materská škola - Dubové,21.0
964,Dubové,ZŠ - Dubové,23.0
965,Dubové,Materská škola - Dubové,17.0
966,Dubovec,ZŠ - Dubovec,32.0
967,Dubovec,Materská škola s VJM - Dubovec,16.0
968,Dubovica,ZŠ - Dubovica,56.0
969,Dubovica,Materská škola - Dubovica,46.0
970,Dúbrava,Materská škola pri ZŠ - Dúbrava,37.0
971,Dúbrava,ZŠ s MŠ - Dúbrava,24.0
972,Dúbrava,Materská škola - Dúbrava,13.0
973,Dúbrava,Materská škola pri ZŠ - Dúbrava,37.0
974,Dúbrava,ZŠ s MŠ - Dúbrava,24.0
975,Dúbrava,Materská škola - Dúbrava,13.0
976,Dúbrava,Materská škola pri ZŠ - Dúbrava,37.0
977,Dúbrava,ZŠ s MŠ - Dúbrava,24.0
978,Dúbrava,Materská škola - Dúbrava,13.0
979,Dúbrava,Materská škola pri ZŠ - Dúbrava,37.0
980,Dúbrava,ZŠ s MŠ - Dúbrava,24.0
981,Dúbrava,Materská škola - Dúbrava,13.0
982,Dúbrava,Materská škola pri ZŠ - Dúbrava,37.0
983,Dúbrava,ZŠ s MŠ - Dúbrava,24.0
984,Dúbrava,Materská škola - Dúbrava,13.0
985,Dúbrava,Materská škola pri ZŠ - Dúbrava,37.0
986,Dúbrava,ZŠ s MŠ - Dúbrava,24.0
987,Dúbrava,Materská škola - Dúbrava,13.0
988,Dúbravka,Materská škola - Dúbravka,23.0
989,Dúbravy,Materská škola - Dúbravy,22.0
990,Ducové,Materská škola - Ducové,19.0
991,Dudince,"Materská škola pri SŠ ( - Dudince, Ľ.Štúra",35.0
992,Dudince,"SŠ - ZŠ s MŠ - Dudince, Ľ.Štúra",187.0
993,Dulov,Materská škola - Dulov,28.0
994,Dulov,ZŠ - Dulov,34.0
995,Dulova Ves,Materská škola - Dulova Ves,20.0
996,Dulovce,"Materská škola - Dulovce, Podbrežná",16.0
997,Dulovce,"ZŠ - Dulovce, Starohorská",100.0
998,Dulovce,"EP Špec. ZŠ - Dulovce, Pobrežná",
999,Dulovce,"EP Špec. ZŠ - Dulovce, Starohorská",
1000,Dunajov,ZŠ s MŠ - Dunajov,45.0
1001,Dunajov,EP pri ZŠ s MŠ-MŠ - Dunajov,45.0
1002,Dunajská Lužná,"Materská škola - Dunajská Lužná, Brezová",247.0
1003,Dunajská Lužná,"Cirk. MŠ - Dunajská Lužná, Jánošíkovská",45.0
1004,Dunajská Lužná,"EP - MŠ - Dunajská Lužná, Lipnická 3155/188A",
1005,Dunajská Lužná,"EP - materská škola - Dunajská Lužná, Lipnická",
1006,Dunajská Lužná,"EP - materská škola - Dunajská Lužná, Lipnická",
1007,Dunajská Lužná,"ZŠ - Dunajská Lužná, Školská",818.0
1008,Dunajská Lužná,"EP - Materská škola - Dunajská Lužná, Orechová",
1009,Dunajská Streda,"Špec. ZŠ - D.Streda, Ádorská",54.0
1010,Dunajská Streda,"Materská škola s VJM - D.Streda, Alžbetínske nám.",63.0
1011,Dunajská Streda,"SOŠ stavebná - D.Streda, Gyulu Szabóa",137.0
1012,Dunajská Streda,"PŠ s VJM ako o.z. Spoj. - D.Streda, Gyulu Szabóa",22.0
1013,Dunajská Streda,"ŠZS s VJM ako o.z. Spoj - D.Streda, Gyulu Szabóa",30.0
1014,Dunajská Streda,"SOŠ informatiky a služi - D.Streda, Gyulu Szabóa",418.0
1015,Dunajská Streda,"Súkr.Gym. s VJM - D.Streda, Hlavná",215.0
1016,Dunajská Streda,"ZŠ s VJM - D.Streda, Hviezdoslavova ",620.0
1017,Dunajská Streda,"Materská škola - D.Streda, Jesenského ",92.0
1018,Dunajská Streda,"ZŠ - D.Streda, Jilemnického ",649.0
1019,Dunajská Streda,"ZŠ s VJM - D.Streda, Komenského ",357.0
1020,Dunajská Streda,"Špec. ZŠ s VJM - D.Streda, Ádorská ",52.0
1021,Dunajská Streda,"Materská škola - D.Streda, Komenského ",92.0
1022,Dunajská Streda,"SOŠ technická - D.Streda, Kračanská c.",134.0
1023,Dunajská Streda,"Materská škola - D.Streda, Nám.priateľstva",124.0
1024,Dunajská Streda,"Gym. Á. Vámberyho - D.Streda, Nám.sv.Štefana",248.0
1025,Dunajská Streda,"Stredná športová škola - D.Streda, Nám.sv.Štefana",77.0
1026,Dunajská Streda,"SOŠ rozv.vidieka s VJM - D.Streda, Nám.sv.Štefana",310.0
1027,Dunajská Streda,"Materská škola - D.Streda, Nám.SNP",119.0
1028,Dunajská Streda,"Súkr. SOŠ s VJM - D.Streda, Neratovické nám.",445.0
1029,Dunajská Streda,"Materská škola s VJM - D.Streda, Októbrová ",85.0
1030,Dunajská Streda,"Materská škola - D.Streda, Ružový háj",56.0
1031,Dunajská Streda,"Materská škola - D.Streda, Rybný trh",127.0
1032,Dunajská Streda,"Gym. L.Dúbravu - D.Streda, Smetanov háj",223.0
1033,Dunajská Streda,"ZŠ - D.Streda, Smetanov háj",327.0
1034,Dunajská Streda,"Materská škola - D.Streda, Széchenyiho ",72.0
1035,Dunajská Streda,"ZŠ s VJM - D.Streda, Školská ",711.0
1036,Dunajská Streda,"SZŠ - D.Streda, Športová",189.0
1037,Dunajská Streda,"Cirk. ZŠ s VJM - D.Streda, Trhovisko",131.0
1038,Dunajská Streda,"EP ako súčasť ZŠ - D.Streda, Nám.priateľstva",
1039,Dunajská Streda,"Cirk. MŠ sv. Jána apošt - D.Streda, Trhovisko",16.0
1040,Dunajská Streda,"Súkr. SOŠ ADVENTIM - D.Streda, Komenského ",41.0
1041,Dunajský Klátov,Materská škola s VJM - Dunajský Klátov,21.0
1042,Duplín,Materská škola - Duplín,32.0
1043,Ďurčiná,Materská škola - Ďurčiná,35.0
1044,Ďurčiná,ZŠ - Ďurčiná,46.0
1045,Ďurďošík,Materská škola - Ďurďošík,20.0
1046,Ďurkov,ZŠ - Ďurkov,174.0
1047,Ďurkov,Materská škola - Ďurkov,42.0
1048,Dvorany nad Nitrou,Materská škola - Dvorany nad Nitrou,24.0
1049,Dvorec,Materská škola pri ZŠ - Dvorec,34.0
1050,Dvorec,ZŠ s MŠ - Dvorec,62.0
1051,Dvorec,Materská škola pri ZŠ - Dvorec,34.0
1052,Dvorec,ZŠ s MŠ - Dvorec,62.0
1053,Dvorianky,"Materská škola - Dvorianky, Obchodná",24.0
1054,Dvorníky,ZŠ s MŠ - Dvorníky,141.0
1055,Dvorníky,EP ako súčasť ZŠ s MŠ - Dvorníky,44.0
1056,Dvorníky,ZŠ s MŠ - Dvorníky,141.0
1057,Dvorníky,EP ako súčasť ZŠ s MŠ - Dvorníky,44.0
1058,Dvorníky,ZŠ s MŠ - Dvorníky,141.0
1059,Dvorníky,EP ako súčasť ZŠ s MŠ - Dvorníky,44.0
1060,Dvory nad Žitavou,"ZŠ - Dvory n.Ž., Hl.nám.",265.0
1061,Dvory nad Žitavou,"Materská škola - Dvory n.Ž., J.A.Komenského",61.0
1062,Dvory nad Žitavou,"ZŠ A.Majthényiho s VJM - Dvory n.Ž., Hl.nám.",224.0
1063,Dvory nad Žitavou,"MŠ s VJM - Óvoda - Dvory n.Ž., J.A.Komenského",41.0
1064,Fačkov,Materská škola - Fačkov,23.0
1065,Fačkov,ZŠ - Fačkov,18.0
1066,Falkušovce,Materská škola - Falkušovce,20.0
1067,Farná,Materská škola - Óvoda - Farná,34.0
1068,Farná,ZŠ s VJM - Farná,52.0
1069,Farná,ZŠ - Farná,84.0
1070,Figa,ZŠ - Figa,29.0
1071,Figa,Materská škola s VJM - Figa,17.0
1072,Fiľakovo,"Materská škola - Fiľakovo, Daxnerova",158.0
1073,Fiľakovo,"ZŠ - Fiľakovo, Farská lúka 64/A",174.0
1074,Fiľakovo,"SOŠ - Fiľakovo, J.Kalinčiaka",206.0
1075,Fiľakovo,"Gym. - Fiľakovo, Nám.padlých hrd.",159.0
1076,Fiľakovo,"ZŠ - Fiľakovo, Školská",367.0
1077,Fiľakovo,"Materská škola - Fiľakovo, Štúrova",154.0
1078,Fiľakovo,"Špec. ZŠ i. - Fiľakovo, Viničná",106.0
1079,Fiľakovo,"ZŠ s VJM - Fiľakovo, Farská lúka 64/B",303.0
1080,Fiľakovo,"ZŠ Š. K. II - Fiľakovo, Mládežnícka",570.0
1081,Fiľakovo,"EP - ŠZŠI - Fiľakovo,  Obrancov mieru",
1082,Fiľakovské Kováče,Materská škola - Fiľakovské Kováče,17.0
1083,Fiľakovské Kováče,ZŠ - Fiľakovské Kováče,23.0
1084,Fintice,CMŠ sv. Márie Goretti - Fintice,24.0
1085,Fintice,"MŠ pri ZŠ - Fintice, Grófske nádvorie",48.0
1086,Fintice,"ZŠ s MŠ - Fintice, Grófske nádvorie",210.0
1087,Forbasy,Materská škola - Forbasy,26.0
1088,Fričkovce,Materská škola - Fričkovce,19.0
1089,Fričkovce,ZŠ - Fričkovce,25.0
1090,Fričovce,Materská škola - Fričovce,24.0
1091,Fričovce,ZŠ - Fričovce,57.0
1092,Fulianka,Materská škola - Fulianka,15.0
1093,Fulianka,ZŠ - Fulianka,14.0
1094,Gabčíkovo,"Materská škola s VJM - Gabčíkovo, Cintorínska",50.0
1095,Gabčíkovo,"ZŠ s VJM - Gabčíkovo, Komenského",318.0
1096,Gabčíkovo,"ZŠ - Gabčíkovo, Komenského",212.0
1097,Gabčíkovo,"Materská škola s VJM - Gabčíkovo, Komenského",68.0
1098,Gabčíkovo,"Materská škola - Gabčíkovo, Komenského",75.0
1099,Gaboltov,Materská škola pri ZŠ - Gaboltov,16.0
1100,Gaboltov,ZŠ s MŠ - Gaboltov,309.0
1101,Gajary,"Materská škola - Gajary, Hlavná",86.0
1102,Gajary,"ZŠ - Gajary, Skuteckého",220.0
1103,Galanta,"Materská škola - Galanta, Clementisove Sady",60.0
1104,Galanta,"Materská škola - Galanta, Česká",152.0
1105,Galanta,"SOŠ technická - Galanta, Esterházyovcov",246.0
1106,Galanta,"Súkr.bilingválne GYM - Galanta, Hodská",124.0
1107,Galanta,"ZŠ - Galanta, Mierová",466.0
1108,Galanta,"Materská škola s VJM - Galanta, Nová doba",64.0
1109,Galanta,"Materská škola - Galanta, Nová doba",62.0
1110,Galanta,"Špec. ZŠ - Galanta, Šafárikova",76.0
1111,Galanta,"ZŠ - Galanta, Štefánikova",299.0
1112,Galanta,"Gym. J. Matúšku - Galanta, Štvrť SNP",317.0
1113,Galanta,"Gym. Z.Kodálya s VJM - Galanta, Štvrť SNP",260.0
1114,Galanta,"ZŠ - Galanta, Štvrť SNP",600.0
1115,Galanta,"Materská škola - Galanta, Štvrť SNP",106.0
1116,Galanta,"ZŠ s VJM - Galanta, Švermova",346.0
1117,Galanta,"SOŠ OaSl - Galanta, Z.Kodálya",274.0
1118,Galanta,"EP ako súčasť MŠ - Galanta,  Úzka",
1119,Galanta,"EP ako súčasť MŠ - Galanta, Hodská",
1120,Gáň,"Materská škola - Gáň, Hlavná",32.0
1121,Gánovce,"Materská škola - Gánovce, Športová",20.0
1122,Gbeľany,"ZŠ - Gbeľany, Hlavná ",308.0
1123,Gbeľany,"Materská škola - Gbeľany, Urbárska",55.0
1124,Gbelce,"ZŠ - Gbelce, J.Stampayho",154.0
1125,Gbelce,"Materská škola - Óvoda - Gbelce, Materskej školy",44.0
1126,Gbelce,"ZŠ J. Stampayho s VJM - Gbelce, J.Stampayho",139.0
1127,Gbely,"Špec. ZŠ - Gbely, SNP",17.0
1128,Gbely,"ZŠ s MŠ - Gbely, Pionierska",491.0
1129,Gbely,"SOŠ elektrotechnická - Gbely, Učňovská",145.0
1130,Gbely,"EP ako súčasť ZŠ s MŠ - Gbely, Záhumenice",110.0
1131,Gbely,"EP ako súčasť ZŠ s MŠ - Gbely, Čsl.armády",51.0
1132,Geča,"Materská škola - Geča, Kostolná",43.0
1133,Gelnica,"Materská škola - Gelnica, Hlavná",118.0
1134,Gelnica,"ZŠ - Gelnica, Hlavná",538.0
1135,Gelnica,"SŠ int. - ŠZŠ - Gelnica, Kováčska",31.0
1136,Gelnica,"Materská škola - Gelnica, Slovenská",70.0
1137,Gelnica,"Gym. - Gelnica, SNP",135.0
1138,Gelnica,"EP - SŠ int. - - Gelnica, Kováčska",
1139,Gemer,ZŠ s VJM - Gemer,171.0
1140,Gemer,Materská škola s VJM - Gemer,20.0
1141,Gemerská Hôrka,ZŠ s VJM - Gemerská Hôrka,21.0
1142,Gemerská Hôrka,Materská škola - Gemerská Hôrka,28.0
1143,Gemerská Hôrka,ZŠ - Gemerská Hôrka,23.0
1144,Gemerská Panica,Materská škola - Gemerská Panica,24.0
1145,Gemerská Panica,ZŠ - Gemerská Panica,14.0
1146,Gemerská Poloma,"Materská škola - Gemerská Poloma,  9.mája",57.0
1147,Gemerská Poloma,"ZŠ - Gemerská Poloma, Sládkovičova",150.0
1148,Gemerská Ves,ZŠ - Gemerská Ves,459.0
1149,Gemerská Ves,Materská škola s VJM - Gemerská Ves,22.0
1150,Gemerské Dechtáre,"Materská škola pri ZŠ - Gemerské Dechtáre, Hlavná",14.0
1151,Gemerské Michalovce,ZŠ s VJM - Gemerské Michalovce,27.0
1152,Gemerský Jablonec,Materská škola pri ZŠ - Gemerský Jablonec,32.0
1153,Gemerský Jablonec,ZŠ s MŠ - Gemerský Jablonec,247.0
1154,Gerlachov,Materská škola - Gerlachov,19.0
1155,Gerlachov,ZŠ - Gerlachov,41.0
1156,Gerlachov,"Materská škola pri ZŠ - Gerlachov, Mlynská",24.0
1157,Gerlachov,"ZŠ s MŠ - Gerlachov, Mlynská",32.0
1158,Gerlachov,Materská škola - Gerlachov,19.0
1159,Gerlachov,ZŠ - Gerlachov,41.0
1160,Gerlachov,"Materská škola pri ZŠ - Gerlachov, Mlynská",24.0
1161,Gerlachov,"ZŠ s MŠ - Gerlachov, Mlynská",32.0
1162,Giraltovce,"ZŠ - Giraltovce, Budovateľská",391.0
1163,Giraltovce,"Gym. - Giraltovce, Dukelská",107.0
1164,Giraltovce,"Súkr. ZŠ - Giraltovce, Dukelská",198.0
1165,Giraltovce,"Súkr. SOŠ - Giraltovce, Dukelská",263.0
1166,Giraltovce,"Materská škola - Giraltovce, Dukelská",140.0
1167,Giraltovce,"EP - SSOŠ - Giraltovce, Kpt.Nálepku",
1168,Giraltovce,"EP - SSOŠ - Giraltovce, Dukelská",
1169,Giraltovce,"EP - SSOŠ - Giraltovce, Dukelská",
1170,Giraltovce,"EP - SSOŠ - Giraltovce, Dukelská",
1171,Giraltovce,"EP - SSOŠ - Giraltovce, Kukorelliho",
1172,Giraltovce,"EP - S ZŠ - Giraltovce, Kukorelliho",
1173,Giraltovce,"EP - SŠI - PŠ - Giraltovce, Fučíkova",
1174,Gočovo,Materská škola - Gočovo,15.0
1175,Golianovo,Materská škola pri ZŠ - Golianovo,62.0
1176,Golianovo,ZŠ s MŠ - Golianovo,173.0
1177,Gortva,ZŠ s VJM - Gortva,27.0
1178,Gortva,Materská škola s VJM - Gortva,22.0
1179,Gôtovany,Materská škola - Gôtovany,34.0
1180,Granč - Petrovce,"ZŠ - Granč - Petrovce, Školská",30.0
1181,Granč - Petrovce,"Materská škola - Granč - Petrovce,  Gašparovec",41.0
1182,Gregorovce,EP - ZŠ s MŠ (MŠ) - Gregorovce,26.0
1183,Gregorovce,ZŠ s MŠ - Gregorovce,19.0
1184,Gregorovce,EP - ZŠ s MŠ (MŠ) - Gregorovce,26.0
1185,Gregorovce,ZŠ s MŠ - Gregorovce,19.0
1186,Gyňov,"Materská škola - Gyňov, Malogyňovská",20.0
1187,Habovka,"Materská škola pri ZŠ - Habovka, E.P.Bárdoša",58.0
1188,Habovka,"ZŠ s MŠ - Habovka, E.P.Bárdoša",135.0
1189,Habura,Materská škola - Habura,11.0
1190,Háj,Materská škola - Háj,14.0
1191,Háj,Materská škola - Háj,14.0
1192,Hajnáčka,Materská škola pri ZŠ - Hajnáčka,15.0
1193,Hajnáčka,ZŠ s MŠ - Hajnáčka,36.0
1194,Hájske,EP Materská šk. pri ZŠ - Hájske,32.0
1195,Hájske,ZŠ - Hájske,106.0
1196,Halič,"Materská škola pri ZŠ - Halič, Družstevná",54.0
1197,Halič,"ZŠ s MŠ - Halič, Družstevná",237.0
1198,Haligovce,ZŠ s MŠ Kráľ. Pokoja - Haligovce,99.0
1199,Haligovce,EP - ZŠ s MŠ (MŠ) - Haligovce,22.0
1200,Hamuliakovo,"ZŠ - Hamuliakovo, Dunajská",204.0
1201,Hamuliakovo,"Materská škola - Hamuliakovo, Dunajská 248/12B",48.0
1202,Handlová,"SOŠ - Handlová, Lipová",490.0
1203,Handlová,"ZŠ - Handlová, Mierové nám.",514.0
1204,Handlová,"ZŠ - Handlová, Morovnianska c.",322.0
1205,Handlová,"Špec. ZŠ - Handlová, Nám.baníkov",73.0
1206,Handlová,"ZŠ - Handlová, Školská",367.0
1207,Handlová,"Materská škola - Handlová,  SNP",359.0
1208,Handlová,"EP ako súčasť MŠ - Handlová, Cintorínska",
1209,Handlová,"EP ako súčasť MŠ - Handlová, Školská",
1210,Handlová,"EP ako súčasť MŠ - Handlová, Dimitrovova",
1211,Handlová,"EP ako súčasť MŠ - Handlová, Morovnianska c.",
1212,Handlová,"EP ako súčasť MŠ - Handlová, Morovnianska c.",
1213,Haniska,"Materská škola - Haniska, Krompašská",20.0
1214,Haniska,ZŠ - Haniska,258.0
1215,Haniska,Materská škola - Haniska,52.0
1216,Haniska,"Materská škola - Haniska, Krompašská",20.0
1217,Haniska,ZŠ - Haniska,258.0
1218,Haniska,Materská škola - Haniska,52.0
1219,Hankovce,Materská škola - Hankovce,18.0
1220,Hankovce,ZŠ - Hankovce,20.0
1221,Hankovce,Materská škola - Hankovce,11.0
1222,Hankovce,Materská škola - Hankovce,18.0
1223,Hankovce,ZŠ - Hankovce,20.0
1224,Hankovce,Materská škola - Hankovce,11.0
1225,Hanušovce nad Topľou,"Materská škola - Hanušovce n.T., Budovateľská",107.0
1226,Hanušovce nad Topľou,"SŠ - PŠ - Hanušovce n.T., Kukorelliho",12.0
1227,Hanušovce nad Topľou,"SŠ - ŠZŠ - Hanušovce n.T., Kukorelliho",80.0
1228,Hanušovce nad Topľou,"ZŠ - Hanušovce n.T., Štúrova",580.0
1229,Harhaj,Materská škola - Harhaj,13.0
1230,Harhaj,ZŠ - Harhaj,11.0
1231,Harichovce,"ZŠ s MŠ - Harichovce, Levočská",127.0
1232,Harichovce,"EP - ZŠsMŠ (MŠ) - Harichovce, Staničná",40.0
1233,Harmanec,Materská škola - Harmanec,24.0
1234,Harmanec,ZŠ - Harmanec,20.0
1235,Hatalov,Materská škola pri ZŠ - Hatalov,23.0
1236,Hatalov,ZŠ s MŠ - Hatalov,23.0
1237,Hatné,Materská škola - Hatné,21.0
1238,Havaj,Materská škola pri ZŠ - Havaj,20.0
1239,Havaj,ZŠ s MŠ - Havaj,95.0
1240,Hažín nad Cirochou,Materská škola - Hažín n.C.,15.0
1241,Hažlín,"EP - ZŠ s MŠ (MŠ) - Hažlín, Hlavná",14.0
1242,Hažlín,"ZŠ s MŠ - Hažlín, Majerová",8.0
1243,Helcmanovce,Materská škola pri ZŠ - Helcmanovce,36.0
1244,Helcmanovce,ZŠ s MŠ - Helcmanovce,115.0
1245,Heľpa,"Materská škola - Heľpa, Hronská",59.0
1246,Heľpa,"ZŠ - Heľpa, Školská",202.0
1247,Henckovce,Materská škola - Henckovce,14.0
1248,Hencovce,"Materská škola - Hencovce, Nová",42.0
1249,Hencovce,"Cirk. ZŠ - Hencovce, Sládkovičova",49.0
1250,Herľany,ZŠ - Herľany,75.0
1251,Hermanovce,ZŠ s MŠ - Hermanovce,236.0
1252,Hermanovce,EP - ZŠ s MŠ - Hermanovce,
1253,Hermanovce,EP - ZŠ s MŠ - Hermanovce,
1254,Hermanovce,EP - ZŠ s MŠ (MŠ) - Hermanovce,33.0
1255,Hermanovce nad Topľou,Materská škola - Hermanovce n.T.,20.0
1256,Hermanovce nad Topľou,ZŠ - Hermanovce n.T.,24.0
1257,Hertník,Materská škola pri ZŠ - Hertník,33.0
1258,Hertník,ZŠ s MŠ - Hertník,186.0
1259,Hertník,EP - ŠZŠ - Hertník,
1260,Hervartov,ZŠ - Hervartov,17.0
1261,Hervartov,Materská škola - Hervartov,11.0
1262,Hiadeľ,Materská škola pri ZŠ - Hiadeľ,18.0
1263,Hiadeľ,ZŠ s MŠ - Hiadeľ,10.0
1264,Hincovce,Materská škola - Hincovce,9.0
1265,Hladovka,ZŠ s MŠ - Hladovka,240.0
1266,Hladovka,EP pri ZŠ s MŠ-MŠ - Hladovka,44.0
1267,Hlboké,"ZŠ - Hlboké, Športová",17.0
1268,Hlboké,"Materská škola - Hlboké, Športová",19.0
1269,Hlboké,"ZŠ - Hlboké, Športová",17.0
1270,Hlboké,"Materská škola - Hlboké, Športová",19.0
