,Okres,Počet obyvateľov v okrese,Navrhovaný počet odberových miest pre okres,Kapacita testov za deň pre okres,Kapacita testov za týždeň pre okres,Obec,Navrhované odberové miesto,Počet obyvateľov,Navrhovaný počet odberových jednotiek pre obec,Kapacita testov za deň pre obec,Kapacita testov za týždeň pre obec
148,,,,,,Rimavská Sobota,"ZŠ P.K.H. - Rim.Sobota, Družstevná",24322.0,14.0,4200.0,29400.0
149,Rožňava,61454.0,13.0,3900.0,27300.0,,,,,,
150,,,,,,Dobšiná,"ZŠ - Dobšiná, Zimná",5685.0,3.0,900.0,6300.0
151,,,,,,Rožňava,"ZŠ - Rožňava, Zlatá",19505.0,10.0,3000.0,21000.0
152,Ružomberok,54888.0,11.0,3300.0,23100.0,,,,,,
153,,,,,,Ružomberok,"ZŠ - Ružomberok, Zarevúca",27884.0,11.0,3300.0,23100.0
154,Sabinov,60290.0,12.0,3600.0,25200.0,,,,,,
155,,,,,,Jarovnice,ZŠ - Jarovnice,5935.0,3.0,900.0,6300.0
156,,,,,,Lipany,"ZŠ - Lipany, Komenského",6454.0,3.0,900.0,6300.0
157,,,,,,Sabinov,"ZŠ - Sabinov,  17.novembra",12704.0,6.0,1800.0,12600.0
158,Senec,70824.0,13.0,3900.0,27300.0,,,,,,
159,,,,,,Bernolákovo,"ZŠ - Bernolákovo, Komenského",5960.0,2.0,600.0,4200.0
160,,,,,,Dunajská Lužná,"ZŠ - Dunajská Lužná, Školská",5195.0,2.0,600.0,4200.0
161,,,,,,Ivanka pri Dunaji,"ZŠ - Ivanka pri Dunaji,  SNP",6087.0,2.0,600.0,4200.0
162,,,,,,Senec,"ZŠ - Senec, Tajovského",17806.0,7.0,2100.0,14700.0
163,Senica,58716.0,12.0,3600.0,25200.0,,,,,,
164,,,,,,Šaštín - Stráže,"Základná umelecká škola - Šaštín-Stráže, J.Hollého",5136.0,12.0,3600.0,25200.0
165,Skalica,45888.0,9.0,2700.0,18900.0,,,,,,
166,,,,,,Gbely,"ZŠ s MŠ - Gbely, Pionierska",5186.0,3.0,900.0,6300.0
167,,,,,,Holíč,"SOŠ dopravy a služieb - Holíč, Nám.sv.Martina",11196.0,6.0,1800.0,12600.0
168,Snina,39227.0,8.0,2400.0,16800.0,,,,,,
169,,,,,,Snina,"ZŠ - Snina, Hviezdoslavova",20496.0,8.0,2400.0,16800.0
170,Sobrance,26834.0,5.0,1500.0,10500.0,,,,,,
171,,,,,,Sobrance,"ZŠ - Sobrance, Komenského",5957.0,5.0,1500.0,10500.0
172,Spišská Nová Ves,91737.0,19.0,5700.0,39900.0,,,,,,
173,,,,,,Krompachy,"ZŠ s MŠ - Krompachy, SNP",8877.0,3.0,900.0,6300.0
174,,,,,,Smižany,"ZŠ - Smižany, Komenského",8636.0,3.0,900.0,6300.0
175,,,,,,Spišská Nová Ves,"ZŠ - Spiš.N.V., Nad Medzou",37795.0,13.0,3900.0,27300.0
176,Stará Ľubovňa,52891.0,11.0,3300.0,23100.0,,,,,,
177,,,,,,Stará Ľubovňa,"ZŠ - St.Ľubovňa, Komenského",16359.0,11.0,3300.0,23100.0
178,Stropkov,20933.0,4.0,1200.0,8400.0,,,,,,
179,,,,,,Stropkov,"ZŠ - Stropkov, Mlynská",10837.0,4.0,1200.0,8400.0
180,Svidník,34661.0,7.0,2100.0,14700.0,,,,,,
181,,,,,,Svidník,"ZŠ - Svidník,  Komenského",11444.0,7.0,2100.0,14700.0
182,Topoľčany,69633.0,14.0,4200.0,29400.0,,,,,,
183,,,,,,Topoľčany,"ZŠ - Topoľčany, Tribečská",26629.0,14.0,4200.0,29400.0
184,Trebišov,81826.0,16.0,4800.0,33600.0,,,,,,
185,,,,,,Kráľovský Chlmec,"ZŠ - Kráľovský Chlmec, L.Kossutha",7704.0,8.0,2400.0,16800.0
186,,,,,,Sečovce,"ZŠ - Sečovce, Komenského",8316.0,8.0,2400.0,16800.0
187,Trenčín,113425.0,22.0,6600.0,46200.0,,,,,,
188,,,,,,Nemšová,"ZŠ - Nemšová, Janka Palu",6271.0,2.0,600.0,4200.0
189,,,,,,Trenčín,"ZŠ - Trenčín, Hodžova",55886.0,20.0,6000.0,42000.0
190,Trnava,128811.0,26.0,7800.0,54600.0,,,,,,
191,,,,,,Trnava,"ZŠ s MŠ - Trnava, Spartakovská",65978.0,26.0,7800.0,54600.0
192,Turčianske Teplice,15227.0,3.0,900.0,6300.0,,,,,,
193,,,,,,Turčianske Teplice,"ZŠ s MŠ - Turč.Teplice, Školská",6570.0,3.0,900.0,6300.0
194,Tvrdošín,37638.0,7.0,2100.0,14700.0,,,,,,
195,,,,,,Trstená,"Gym. M. Hattalu - Trstená, Železničiarov",7463.0,3.0,900.0,6300.0
196,,,,,,Tvrdošín,"ZŠ - Tvrdošín, Medvedzie",9360.0,4.0,1200.0,8400.0
197,Veľký Krtíš,48302.0,10.0,3000.0,21000.0,,,,,,
198,,,,,,Veľký Krtíš,"ZŠ - Veľký Krtíš, Nám.A.H.Škultétyho",12608.0,10.0,3000.0,21000.0
199,Vranov nad Topľou,81933.0,16.0,4800.0,33600.0,,,,,,
200,,,,,,Vranov nad Topľou,"ZŠ - Vranov n.T., Sídl.II.",23041.0,16.0,4800.0,33600.0
201,Zlaté Moravce,43020.0,9.0,2700.0,18900.0,,,,,,
202,,,,,,Zlaté Moravce,"ZŠ - Zl.Moravce, Mojmírova",12007.0,9.0,2700.0,18900.0
